File Name,Reference,Verse
0-345522.jpg,,"Don't worry about the future.
"
1-884547.jpg,,"This is the day that the LORD has made.
"
2-1834399.jpg,,"Believe your prayers will be answered.
"
3-3560044.jpg,,"Every day is a gift from God.
"
4-3584430.jpg,,"Where the Spirit of the Lord is, there is freedom.
"
5-1770809.jpg,,"When you stress it, pray about it.
"
6-1179229.jpg,,"Thank you God for another day.
"
7-2583833.jpg,,"At the right time, I, the Lord, will make it happen.
"
8-2437295.jpg,,"God says you are more than a conqueror.
"
9-2524874.jpg,,"Go to God first.
"
10-614484.jpg,,"I can do all things through Him who strengthens me.
"
11-2724664.jpg,,"God's word never fails.
"
12-2402995.jpg,,"God is greater than your fears.
"
13-3756718.jpg,,"God is greater than the highs and lows.
"
14-1743165.jpg,,"He is risen.
"
15-2591408.jpg,,"God's ways > my ways
"
16-675764.jpg,,"No prayer is too small for God.
"
17-4064432.jpg,,"I am not lucky, I am blessed.
"
18-1287145.jpg,,"I will refresh the weary and satisfy the faint.
"
19-1517162.jpg,,"Jesus loves you on your bad days too.
"
20-3225517.jpg,,"With God all things are possible.
"
21-2440021.jpg,,"Put your trust in the one who holds it all.
"
22-1834407.jpg,,"Keep God first.
"
23-808465.jpg,,"God, thank you.
"
24-1752372.jpg,,"God is always on time.
"
25-2310641.jpg,,"God heard you. Be patient.
"
26-1459534.jpg,,"Thank God before it happens.
"
27-2707645.jpg,,"God will never let you down.
"
28-1785493.jpg,,"Jesus heals.
"
29-1643113.jpg,,"God is patient with you.
"
30-849403.jpg,,"I will strengthen you and help you.
"
31-2662116.jpg,,"God makes no mistakes.
"
32-1761279.jpg,,"Love never fails.
"
33-1819631.jpg,,"I have hidden your word in my heart.
"
34-1496373.jpg,,"Always be joyful. Never stop praying.
"
