File Name,Reference,Verse
0-A7.jpg," ಡಾ. ಬಾಬಾಸಾಹೇಬ್ ಅಂಬೇಡ್ಕರ್
",ಜಾತಿ ವ್ಯವಸ್ಥೆಯು ಹಿಂದೂ ಧರ್ಮದ ಮೂಲಭೂತ ಅಂಗವಲ್ಲ. 
1-A5.jpg," ಡಾ. ಬಾಬಾಸಾಹೇಬ್ ಅಂಬೇಡ್ಕರ್
",ಸಮಾನತೆ ಸಾಧಿಸುವುದು ನನ್ನ ಜೀವನದ ಧ್ಯೇಯ. 
2-A5.jpg," ಡಾ. ಬಾಬಾಸಾಹೇಬ್ ಅಂಬೇಡ್ಕರ್
",ಶಿಕ್ಷಣವೇ ಮೂಲಭೂತ ಹಕ್ಕು. 
3-A4.jpg," ಡಾ. ಬಾಬಾಸಾಹೇಬ್ ಅಂಬೇಡ್ಕರ್
","ಸ್ವಾತಂತ್ರ್ಯ, ಸಮಾನತೆ ಮತ್ತು ಭ್ರಾತೃತ್ವವೇ ನನ್ನ ಧ್ಯೇಯ. "
4-A3.jpg," ಡಾ. ಬಾಬಾಸಾಹೇಬ್ ಅಂಬೇಡ್ಕರ್
",ಜಾತಿ ವ್ಯವಸ್ಥೆಯನ್ನು ನಾಶಮಾಡದೆ ಭಾರತವನ್ನು ಉದ್ಧರಿಸಲು ಸಾಧ್ಯವಿಲ್ಲ. 
5-A7.jpg," ಡಾ. ಬಾಬಾಸಾಹೇಬ್ ಅಂಬೇಡ್ಕರ್
","ಯಾವುದೇ ಧರ್ಮವನ್ನು ಬದಲಾಯಿಸುವುದು ನನ್ನ ಉದ್ದೇಶವಲ್ಲ, ಆದರೆ ಸಮಾನತೆಯನ್ನು ಸ್ಥಾಪಿಸುವುದು. "
6-A4.jpg," ಡಾ. ಬಾಬಾಸಾಹೇಬ್ ಅಂಬೇಡ್ಕರ್
",ಹಿಂದೂ ಧರ್ಮದಲ್ಲಿ ಜಾತಿ ವ್ಯವಸ್ಥೆಯು ಒಂದು ಕಳಂಕ. 
7-A3.jpg," ಡಾ. ಬಾಬಾಸಾಹೇಬ್ ಅಂಬೇಡ್ಕರ್
",ಸ್ವಾತಂತ್ರ್ಯಕ್ಕಿಂತ ಸಮಾನತೆ ಹೆಚ್ಚು ಮುಖ್ಯ. 
8-A5.jpg," ಡಾ. ಬಾಬಾಸಾಹೇಬ್ ಅಂಬೇಡ್ಕರ್
","ಜಾತಿ ವ್ಯವಸ್ಥೆಯು ಹಿಂದೂಗಳಿಗೆ ಮಾತ್ರವಲ್ಲ, ಭಾರತಕ್ಕೆಲ್ಲ ಒಂದು ಶಾಪ. "
9-A3.jpg," ಡಾ. ಬಾಬಾಸಾಹೇಬ್ ಅಂಬೇಡ್ಕರ್
",ಶಿಕ್ಷಣವು ಮಹಿಳೆಯರನ್ನು ಸ್ವಾವಲಂಬಿಗಳನ್ನಾಗಿ ಮಾಡುತ್ತದೆ. 
10-A7.jpg," ಡಾ. ಬಾಬಾಸಾಹೇಬ್ ಅಂಬೇಡ್ಕರ್
",ಯಾವುದೇ ಸಮಾಜದ ಪ್ರಗತಿಯು ಅದರ ಮಹಿಳೆಯರ ಪ್ರಗತಿಯ ಮೇಲೆ ಅವಲಂಬಿತವಾಗಿರುತ್ತದೆ. 
11-A4.jpg," ಡಾ. ಬಾಬಾಸಾಹೇಬ್ ಅಂಬೇಡ್ಕರ್
",ಜಾತಿ ವ್ಯವಸ್ಥೆಯು ಭಾರತದ ಏಕತೆಗೆ ಒಂದು ಅಪಾಯ. 
12-A7.jpg," ಡಾ. ಬಾಬಾಸಾಹೇಬ್ ಅಂಬೇಡ್ಕರ್
",ಜಾತಿ ವ್ಯವಸ್ಥೆಯನ್ನು ನಾಶಮಾಡಲು ಒಗ್ಗಟ್ಟಿನಿಂದ ಹೋರಾಡಬೇಕು. 
13-A3.jpg," ಡಾ. ಬಾಬಾಸಾಹೇಬ್ ಅಂಬೇಡ್ಕರ್
",ಸಮಾನತೆಯನ್ನು ಸಾಧಿಸಲು ಶಾಂತಿಯುತ ಮಾರ್ಗವನ್ನು ಅನುಸರಿಸಬೇಕು. 
14-A5.jpg," ಡಾ. ಬಾಬಾಸಾಹೇಬ್ ಅಂಬೇಡ್ಕರ್
",ಯಾವುದೇ ಧರ್ಮವನ್ನು ಬಲವಂತವಾಗಿ ಹೇರಬಾರದು. 
15-A4.jpg," ಡಾ. ಬಾಬಾಸಾಹೇಬ್ ಅಂಬೇಡ್ಕರ್
",ಧರ್ಮವು ವ್ಯಕ್ತಿಯ ಜೀವನದ ವೈಯಕ್ತಿಕ ವಿಷಯ. 
